Mês;Irrade
Dez;6,15
Jan;5,45
Fev;4,91
Mar;5,73
Abr;5,01
Mai;5,08
Jun;5,42
Jul;5,5
Ago;6,18
Set;6,7
Out;6,7
Nov;6,25
Dez;5,66
Jan;5,54
Fev;4,84
Mar;4,46
Abr;4,32
Mai;4,87
Jun;5,39
Jul;5,59
Ago;6,22
Set;6,59
Out;6,76
Nov;6,63
Dez;6,17
Jan;5,37
Fev;4,67
Mar;5,2
Abr;4,39
Mai;4,99
Jun;4,87
Jul;5,63
Ago;6,37
Set;6,67
Out;6,79
Nov;6,24
Dez;6,23
Jan;5,73
Fev;5,77
Mar;5,07
Abr;5,62
Mai;5,14
Jun;5,58
Jul;5,7
Ago;6,3
Set;6,55
Out;6,61
Nov;6,69
Dez;5,97
