Ano;Mês;Irradiação
2019;Out;7.3
2019;Out;7.08
2019;Out;7.08
2019;Out;7.0
2019;Out;6.82
2019;Out;7.01
2019;Out;7.01
2019;Out;7.06
2019;Out;7.07
2019;Out;7.03
2019;Nov;6.85
2019;Nov;6.53
2019;Nov;6.33
2019;Nov;6.71
2019;Nov;6.86
2019;Nov;6.84
2019;Nov;6.94
2019;Nov;6.89
2019;Nov;6.45
2019;Nov;6.7
2019;Nov;6.57
2019;Nov;7.05
2019;Nov;6.7
2019;Nov;6.84
2019;Nov;6.7
2019;Nov;6.54
2019;Nov;6.8
2019;Nov;6.48
2019;Nov;6.29
2019;Nov;5.71
2019;Nov;6.03
2019;Nov;6.75
2019;Nov;6.36
2019;Nov;6.72
2019;Nov;6.78
2019;Nov;6.66
2019;Nov;6.81
2019;Nov;6.88
2019;Nov;6.71
2019;Nov;6.38
2019;Dez;6.67
2019;Dez;6.97
2019;Dez;6.83
2019;Dez;6.69
2019;Dez;6.62
2019;Dez;6.94
2019;Dez;6.9
2019;Dez;6.84
2019;Dez;6.86
2019;Dez;6.72
2019;Dez;5.91
2019;Dez;6.08
2019;Dez;5.58
2019;Dez;6.34
2019;Dez;6.22
2019;Dez;6.23
2019;Dez;6.29
2019;Dez;6.35
2019;Dez;6.06
2019;Dez;5.47
2019;Dez;6.3
2019;Dez;6.62
2019;Dez;5.83
2019;Dez;5.42
2019;Dez;6.49
2019;Dez;6.51
2019;Dez;6.29
2019;Dez;6.39
2019;Dez;6.3
2019;Dez;4.44
2019;Dez;2.21
2020;Jan;4.58
2020;Jan;3.57
2020;Jan;6.16
2020;Jan;6.04
2020;Jan;5.53
2020;Jan;6.19
2020;Jan;5.75
2020;Jan;4.33
2020;Jan;3.49
2020;Jan;5.53
2020;Jan;6.07
2020;Jan;6.78
2020;Jan;5.85
2020;Jan;6.09
2020;Jan;6.24
2020;Jan;6.41
2020;Jan;6.02
2020;Jan;5.42
2020;Jan;4.88
2020;Jan;6.77
2020;Jan;6.79
2020;Jan;5.6
2020;Jan;5.47
2020;Jan;6.45
2020;Jan;6.58
2020;Jan;2.7
2020;Jan;5.56
2020;Jan;4.34
2020;Jan;6.51
2020;Jan;3.95
2020;Jan;0.71
2020;Fev;6.47
2020;Fev;5.66
2020;Fev;6.11
2020;Fev;4.93
2020;Fev;2.77
2020;Fev;4.18
2020;Fev;6.47
2020;Fev;6.37
2020;Fev;5.72
2020;Fev;3.28
2020;Fev;6.4
2020;Fev;6.53
2020;Fev;1.94
2020;Fev;4.91
2020;Fev;4.46
2020;Fev;5.39
2020;Fev;2.15
2020;Fev;4.21
2020;Fev;3.66
2020;Fev;2.53
2020;Fev;4.0
2020;Fev;1.25
2020;Fev;4.92
2020;Fev;5.9
2020;Fev;3.66
2020;Fev;4.92
2020;Fev;5.04
2020;Fev;5.67
2020;Mar;6.07
2020;Mar;5.13
2020;Mar;5.51
2020;Mar;6.25
2020;Mar;4.16
2020;Mar;6.34
2020;Mar;6.36
2020;Mar;3.1
2020;Mar;5.98
2020;Mar;5.41
2020;Mar;4.54
2020;Mar;5.82
2020;Mar;4.94
2020;Mar;1.78
2020;Mar;4.29
2020;Mar;4.04
2020;Mar;3.65
2020;Mar;5.04
2020;Mar;6.67
2020;Mar;5.59
2020;Mar;6.23
2020;Mar;5.68
2020;Mar;6.78
2020;Mar;6.92
2020;Mar;6.1
2020;Mar;4.79
2020;Mar;4.99
2020;Mar;6.51
2020;Mar;6.72
2020;Mar;6.64
2020;Mar;0.73
2020;Abr;4.65
2020;Abr;3.04
2020;Abr;5.64
2020;Abr;4.88
2020;Abr;2.45
2020;Abr;5.28
2020;Abr;3.82
2020;Abr;5.36
2020;Abr;5.77
2020;Abr;4.62
2020;Abr;5.08
2020;Abr;5.53
2020;Abr;5.33
2020;Abr;4.8
2020;Abr;6.09
2020;Abr;4.98
2020;Abr;2.97
2020;Abr;4.33
2020;Abr;5.25
2020;Abr;6.46
2020;Abr;5.56
2020;Abr;0.72
2020;Abr;4.78
2020;Abr;5.65
2020;Abr;3.33
2020;Abr;3.25
2020;Abr;3.42
2020;Abr;1.79
2020;Abr;4.59
2020;Abr;3.72
2020;Mai;3.13
2020;Mai;3.25
2020;Mai;6.11
2020;Mai;5.38
2020;Mai;3.54
2020;Mai;5.89
2020;Mai;5.21
2020;Mai;5.91
2020;Mai;5.66
2020;Mai;3.95
2020;Mai;4.2
2020;Mai;5.96
2020;Mai;6.28
2020;Mai;6.0
2020;Mai;4.35
2020;Mai;1.8
2020;Mai;1.82
2020;Mai;6.27
2020;Mai;5.78
2020;Mai;5.2
2020;Mai;5.28
2020;Mai;4.68
2020;Mai;3.8
2020;Mai;5.09
2020;Mai;5.74
2020;Mai;6.15
2020;Mai;5.98
2020;Mai;6.08
2020;Mai;5.75
2020;Mai;5.21
2020;Mai;4.73
2020;Jun;3.76
2020;Jun;5.33
2020;Jun;5.9
2020;Jun;5.16
2020;Jun;4.85
2020;Jun;5.8
2020;Jun;5.84
2020;Jun;2.77
2020;Jun;5.95
2020;Jun;5.5
2020;Jun;4.31
2020;Jun;2.47
2020;Jun;2.74
2020;Jun;5.04
2020;Jun;5.04
2020;Jun;5.99
2020;Jun;5.73
2020;Jun;4.63
2020;Jun;5.9
2020;Jun;5.7
2020;Jun;5.15
2020;Jun;4.89
2020;Jun;5.18
2020;Jun;3.97
2020;Jun;3.91
2020;Jun;4.37
2020;Jun;3.52
2020;Jun;5.35
2020;Jun;5.8
2020;Jun;3.5
2020;Jul;5.89
2020;Jul;5.76
2020;Jul;5.65
2020;Jul;5.28
2020;Jul;5.76
2020;Jul;5.86
2020;Jul;2.03
2020;Jul;5.45
2020;Jul;6.01
2020;Jul;3.17
2020;Jul;5.68
2020;Jul;6.12
2020;Jul;5.29
2020;Jul;6.24
2020;Jul;6.21
2020;Jul;5.83
2020;Jul;6.09
2020;Jul;6.18
2020;Jul;5.32
2020;Jul;6.3
2020;Jul;4.22
2020;Jul;5.31
2020;Jul;6.19
2020;Jul;5.35
2020;Jul;6.11
2020;Jul;6.27
2020;Jul;6.06
2020;Jul;6.03
2020;Jul;6.19
2020;Jul;6.32
2020;Jul;5.91
2020;Ago;6.44
2020;Ago;6.24
2020;Ago;6.3
2020;Ago;6.28
2020;Ago;6.51
2020;Ago;6.6
2020;Ago;6.44
2020;Ago;6.48
2020;Ago;6.69
2020;Ago;6.48
2020;Ago;6.01
2020;Ago;6.43
2020;Ago;6.51
2020;Ago;6.07
2020;Ago;6.29
2020;Ago;6.33
2020;Ago;6.55
2020;Ago;6.6
2020;Ago;6.52
2020;Ago;5.92
2020;Ago;6.22
2020;Ago;6.2
2020;Ago;5.88
2020;Ago;5.9
2020;Ago;6.64
2020;Ago;6.63
2020;Ago;6.46
2020;Ago;6.01
2020;Ago;6.64
2020;Ago;6.43
2020;Ago;6.3
2020;Set;6.84
2020;Set;6.62
2020;Set;6.75
2020;Set;6.67
2020;Set;6.79
2020;Set;7.03
2020;Set;6.86
2020;Set;6.9
2020;Set;6.86
2020;Set;6.94
2020;Set;6.67
2020;Set;6.07
2020;Set;6.8
2020;Set;6.67
2020;Set;6.87
2020;Set;6.69
2020;Set;6.63
2020;Set;6.8
2020;Set;6.69
2020;Set;5.98
2020;Set;5.87
2020;Set;6.5
2020;Set;6.8
2020;Set;6.78
2020;Set;6.94
2020;Set;6.58
2020;Set;6.35
2020;Set;6.62
2020;Set;6.29
2020;Set;6.92
