ANO;MÊS;DIA;IRRADI
2020;Set;7;4,88
2020;Set;8;6,44
2020;Set;9;5,75
2020;Set;10;6,82
2020;Set;11;6,14
2020;Set;12;5,65
2020;Set;13;5,51
2020;Set;14;6,18
2020;Set;15;5,24
2020;Set;16;5,97
2020;Set;17;6,8
2020;Set;18;6,92
2020;Set;19;6,75
2020;Set;20;6,44
2020;Set;21;5,82
2020;Set;22;5,14
2020;Set;23;6,22
2020;Set;24;6,18
2020;Set;25;5,58
2020;Set;26;6,6
2020;Set;27;6,73
2020;Set;28;6,59
2020;Set;29;6,76
2020;Set;30;6,44
2020;Out;1;5,26
2020;Out;2;7,22
2020;Out;3;7,08
2020;Out;4;6,97
2020;Out;5;4,17
2020;Out;6;6,61
2020;Out;7;6,45
2020;Out;8;6,64
2020;Out;9;6,48
2020;Out;10;5,83
2020;Out;11;5,88
2020;Out;12;5,2
2020;Out;13;5,45
2020;Out;14;6,99
2020;Out;15;6,9
2020;Out;16;6,84
2020;Out;17;6,51
2020;Out;18;3,94
2020;Out;19;5,38
2020;Out;20;6,54
2020;Out;21;7,35
2020;Out;22;6,87
2020;Out;23;6,95
2020;Out;24;6,87
2020;Out;25;6,7
2020;Out;26;2,03
2020;Out;27;4,23
2020;Out;28;5,61
2020;Out;29;5,62
2020;Out;30;6,2
2020;Out;31;5,84
2020;Nov;1;5,08
2020;Nov;2;2,24
2020;Nov;3;2,84
2020;Nov;4;3,58
2020;Nov;5;4,24
2020;Nov;6;5,18
2020;Nov;7;6,97
2020;Nov;8;7,01
2020;Nov;9;7,51
2020;Nov;10;6,78
2020;Nov;11;7,17
2020;Nov;12;7,46
2020;Nov;13;7,34
2020;Nov;14;6,8
2020;Nov;15;7,05
2020;Nov;16;7,06
2020;Nov;17;6,96
2020;Nov;18;6,24
2020;Nov;19;5,97
2020;Nov;20;4,67
2020;Nov;21;3,76
2020;Nov;22;7,04
2020;Nov;23;7,5
2020;Nov;24;7,26
2020;Nov;25;6,22
2020;Nov;26;5,41
2020;Nov;27;6,04
2020;Nov;28;6,2
2020;Nov;29;5,77
2020;Nov;30;7,03
2020;Dez;1;7,05
2020;Dez;2;7,57
2020;Dez;3;7,12
2020;Dez;4;7,1
2020;Dez;5;6,26
2020;Dez;6;7,55
2020;Dez;7;7,7
2020;Dez;8;7,27
2020;Dez;9;7,38
2020;Dez;10;7,45
2020;Dez;11;7,6
2020;Dez;12;7,67
2020;Dez;13;7,66
2020;Dez;14;7,53
2020;Dez;15;7,19
2020;Dez;16;6,48
2020;Dez;17;5,26
2020;Dez;18;5,54
2020;Dez;19;5,76
2020;Dez;20;6,16
2020;Dez;21;6,24
2020;Dez;22;7,34
2020;Dez;23;6,59
2020;Dez;24;7,58
2020;Dez;25;7,32
2020;Dez;26;6,62
2020;Dez;27;7,18
2020;Dez;28;7,3
2020;Dez;29;6,99
2020;Dez;30;7,32
2020;Dez;31;7,31
